Name,Department,Condition,Purchase Price,Asset Code,Assigned To,Warranty Expiry,Location,Category,Vendor
MacBook Pro M4,IT,Excellent,8500.00,MBP001,John Tan,2028-01-15,IT Office,Laptop,Apple Store
Office Chair,HR,Good,420.00,CHR002,Siti Aminah,2029-05-20,HR Office,Furniture,IKEA
Standing Desk,Finance,Excellent,980.00,DSK003,Ahmad Firdaus,2030-02-12,Finance Office,Furniture,IKEA
NAS Storage,IT,Fair,5200.00,NAS004,IT Team,2028-11-10,Server Room,Storage,Synology
Air Conditioner,Facilities,Good,3200.00,AC005,Facilities Team,2031-03-18,Meeting Room,Electrical,Daikin
Conference Camera,IT,Excellent,1850.00,CAM006,Nurul,2028-08-01,Conference Room,Camera,Logitech
Barcode Scanner,Warehouse,Good,620.00,BCD007,Warehouse Staff,2029-01-05,Warehouse,Scanner,Zebra
Fingerprint Scanner,Security,Excellent,1450.00,FPS008,Security Team,2028-12-20,Entrance,Security,ZKTeco
Microwave,Pantry,Good,380.00,MW009,Pantry,2030-07-11,Pantry,Appliance,Panasonic
Smart TV,Marketing,Excellent,2750.00,TV010,Marketing Team,2029-10-30,Meeting Room,Display,Samsung
