Name,Part Number,Stock Level,Minimum Stock Level,Unit Cost,Site ID,Category,Location,Status,Used By,Created By
Pro HDD,SP-49722,42,10,485.67,3,HDD,Cabinet 2 - Bottom,available,,5
Premium CPU,SP-96072,16,6,475.91,9,CPU,Cabinet 2 - Top,in_used,15,9
Premium DDR5 RAM,SP-65507,21,4,198.7,8,DDR5 RAM,Server Room - Rack 02,available,,1
Wired MOUSE,SP-39112,23,3,365.73,5,MOUSE,Rack B - Shelf 2,in_used,7,6
Premium M.2 SSD,SP-67669,5,2,395.66,6,M.2 SSD,Warehouse - Row 2,faulty,,2
Standard CABLE TRACER,SP-16080,9,2,352.07,10,CABLE TRACER,Drawer #2,faulty,,6
Premium DDR4 RAM,SP-87587,11,6,399.63,3,DDR4 RAM,Rack A - Shelf 1,available,,5
Standard DDR4 RAM,SP-15594,19,9,85.35,9,DDR4 RAM,Rack C - Shelf 2,in_used,8,4
2TB HDD STORAGE,SP-42173,31,5,277.39,4,STORAGE,Workshop Bench,in_used,16,4
Premium SATA CABLE,SP-95975,44,7,138.44,6,SATA CABLE,Drawer #1,faulty,,5
Premium CABLE TRACER,SP-35181,36,10,380.47,7,CABLE TRACER,Drawer #3,available,,7
Pro NETWORK CARD,SP-65834,5,4,453.89,10,NETWORK CARD,Cabinet 2 - Bottom,faulty,,3
2TB HDD STORAGE,SP-78818,37,4,425.51,9,STORAGE,Server Room - Rack 01,available,,6
Pro NETWORK CARD,SP-52747,47,4,335.06,2,NETWORK CARD,Cabinet 1 - Right,available,,8
Pro HDD,SP-29713,22,5,370.61,1,HDD,Cabinet 1 - Right,faulty,,4
Industrial SATA CABLE,SP-31576,48,7,104.77,2,SATA CABLE,Warehouse - Row 2,in_used,18,6
DDR5 16GB RAM,SP-63451,28,6,484.14,4,RAM,Workshop Bench,faulty,,7
Standard HDMI CABLE,SP-35138,3,9,170.62,8,HDMI CABLE,Rack A - Shelf 1,available,,7
Pro USB HUB,SP-17004,36,9,362.28,5,USB HUB,Drawer #1,faulty,,3
