Asset ID,Asset Name,Category,Type,Location,OEM,Purchase Year,Serial Number,Part Number,Quantity,Status
HW0001,Router 1,Network,Router,Warehouse,MikroTik,2023,SN-100001,PN-200001,19,maintenance
HW0002,Cabinet 2,Furniture,Cabinet,HQ,Steelcase,2018,SN-100002,PN-200002,8,in use
HW0003,Firewall 3,Network,Firewall,Data Center,Fortinet,2020,SN-100003,PN-200003,16,in use
HW0004,Television 4,Electronics,Television,Office A,Samsung,2019,SN-100004,PN-200004,20,maintenance
HW0005,UPS 5,Hardware,UPS,Room 2,APC,2022,SN-100005,PN-200005,12,maintenance
HW0006,Switch 6,Hardware,Switch,Office B,Cisco,2021,SN-100006,PN-200006,13,in use
HW0007,Access Point 7,Network,Access Point,Office A,Ubiquiti,2018,SN-100007,PN-200007,1,in use
HW0008,Server 8,Hardware,Server,Room 2,Dell,2025,SN-100008,PN-200008,11,available
HW0009,Motorcycle 9,Vehicle,Motorcycle,HQ,Honda,2023,SN-100009,PN-200009,10,available
HW0010,Office Chair 10,Furniture,Office Chair,Warehouse,IKEA,2019,SN-100010,PN-200010,2,disposed
HW0011,Van 11,Vehicle,Van,Office B,Nissan,2016,SN-100011,PN-200011,20,in use
HW0012,Van 12,Vehicle,Van,Room 3,Nissan,2024,SN-100012,PN-200012,16,reserved
HW0013,Laptop 13,Hardware,Laptop,Office B,Lenovo,2017,SN-100013,PN-200013,11,reserved
HW0014,Camera 14,Electronics,Camera,Branch A,Sony,2019,SN-100014,PN-200014,18,reserved
HW0015,Van 15,Vehicle,Van,Data Center,Nissan,2025,SN-100015,PN-200015,10,reserved
HW0016,Motorcycle 16,Vehicle,Motorcycle,Branch B,Honda,2019,SN-100016,PN-200016,5,in use
HW0017,Firewall 17,Hardware,Firewall,Room 2,Fortinet,2025,SN-100017,PN-200017,1,maintenance
HW0018,Meeting Table 18,Furniture,Meeting Table,Office B,IKEA,2025,SN-100018,PN-200018,10,reserved
HW0019,Switch 19,Hardware,Switch,Branch A,Cisco,2024,SN-100019,PN-200019,3,disposed
HW0020,Desk 20,Furniture,Desk,Branch B,IKEA,2020,SN-100020,PN-200020,19,reserved
HW0021,Office Chair 21,Furniture,Office Chair,Room 3,IKEA,2020,SN-100021,PN-200021,3,maintenance
HW0022,Motorcycle 22,Vehicle,Motorcycle,Branch A,Honda,2024,SN-100022,PN-200022,12,disposed
HW0023,Van 23,Vehicle,Van,HQ,Nissan,2022,SN-100023,PN-200023,4,disposed
HW0024,Scanner 24,Electronics,Scanner,HQ,Canon,2019,SN-100024,PN-200024,16,available
HW0025,Router 25,Network,Router,HQ,MikroTik,2023,SN-100025,PN-200025,3,in use
HW0026,Access Point 26,Network,Access Point,Data Center,Ubiquiti,2018,SN-100026,PN-200026,2,reserved
HW0027,Laptop 27,Hardware,Laptop,HQ,Lenovo,2020,SN-100027,PN-200027,12,disposed
